"b'RT @cburniske: Keep an eye on how much #bitcoin divorces from its 200 day moving average in the days, weeks, and months ahead. '",
b'RT @dinisguarda: A Visual History Of All Asset #Bubbles until now How to position #bitcoin and the remaining #cryptocurrencies in this ecos',
b'WSJ How to Spot a Market Top  by @kenbrown12',
"b'Fortune Nearly 4 Million Bitcoins Lost Forever, New Study Says  by @jeffjohnroberts and @nick_rapp'",
b'Independent Online People Becoming Virtual Millionaires by Buying Currency of the Future  by @Nabeelah_Shaikh',
b'SEC Assembly Line? How ICO Enforcement Could Take Shape  ',
"b""Who Invented Pants? Why Crypto Creators' Identities Don't Matter  """,
"b'Bitcoin Price Passes $9,000 for the First Time Ever  '",
b'Are Tokens Like Gold? Attorneys Ask Tough Questions on ICOs  ',
"b""Here's What's Standing in the Way of a Tokenized Economy  """,
"b'Bitcoin, Ether Prices Surge to Fresh All-Time Highs  '",
b'Brain Freeze? Parity Bug Continues With No Easy Solution in Sight  ',
b'RT @NeerajKA: Big Bang Theory bitcoin episode promo ',
b'RT @easytiger1981: US Defense Bill Could Give Big Boost to #Blockchain  via @CoinDesk',
b'Online Bank Swissquote Launches Bitcoin Exchange-Traded Product  ',
b'All-Time High: Ether Prices Pass $440 as Key Level Breached  ',
"b""Hybrid ICO? Overstock's tZERO to Build Service Suite Into Security Token  """,
b'Holding Strong: Failed Breakdown a Boon for the Bitcoin Bulls?  ',
b'Dnata Taps IBM for Air Cargo Blockchain Pilot  ',
b'Government of Bermuda Launches Cryptocurrency Task Force  ',
"b""Swiss Central Banker: Bitcoin Is 'More Investment Than Currency'  """,
b'$413: Ether Prices Within a Whisker of All-Time High  ',
"b'Air New Zealand, Winding Tree Team Up for Blockchain Exploration  '",
b'Flying High: Bitcoin Cash Rallies on Korean Volume Spike  ',
"b'UC Berkeley, KyberNetwork Partner for Decentralized Exchange Research  '",
"b""South Korean Finance Watchdog Has 'No Plans' to Regulate Bitcoin Trading  """,
b'Thanksgiving Lull? Bitcoin Trades Sideways But Rally May Continue  ',
b'US Defense Bill Could Give Big Boost to Blockchain  ',
b'Austrian Bank Raiffeisen Enlists in R3 Blockchain Consortium  ',
b'Nasdaq to Build Blockchain Voting System for Securities Depository Strate  ',
b'Slate A Brief History of Lost Cryptocurrency  by @aarontmak',
b'Bitcoin Gold Wallet Scam Nets $3 Million in Illicit Earnings  ',
"b'Baseball Great Jose Canseco Predicts $10,000 Bitcoin By 2018 '",
b'Press Release: Blockchain North America Expo Headed to Santa Clara Convention Center ',
"b""Asset Manager Launches Europe's First Bitcoin Mutual Fund  """,
b'RT @hcawright: Really exciting to see the public network used here ',
"b'Standard Chartered, Axis Launch Payments Service With Ripple Tech  '",
b'RT @SpirosMargaris: Enabling or Crippling? The Risks of State-by-State #Blockchain #Laws  #fintech @coindesk #re',
b'RT @sytaylor: This is a real bond - on Eth. Well done @nivaura Who Needs a CSD? Nivaura to Issue First Regulated Bond in Ethereum h',
"b'RT @MarcHochstein: 1/The price of crypto volatility: for a _one week_ eth-denominated bond (commercial paper, really) issuer paid annual ra'",
b'Central Bank of Malaysia Plans Cryptocurrency Reporting Rules  ',
"b""What's Next for Bitcoin Cash? Stopping Users From Losing Funds  """,
b'FT Cryptocurrencies - Investing or Gambling?  by @izakaminska',
"b'Mike Novogratz Doubles Down on $10,000 Bitcoin Prediction  '",
b'Two-Week Rally Pushes Monero to New Record High  ',
b'Philippine Regulators Eye New Rules for Bitcoin Exchanges and ICOs  ',
b'Who Needs a CSD? Nivaura to Issue First Regulated Bond in Ethereum  ',
b'BREAKING: Italian Bank Intesa Sanpaolo Is Exploring Ethereum Derivatives  ',
"b""Survey: CFOs Think Bitcoin Is 'Real' But Are Divided on Price  """,
b'Enabling or Crippling? The Risks of State-by-State Blockchain Laws  ',
"b'RT @JuanLlanos: ""[T]okens underlying a #SAFT may be more likely to be deemed securities, thus potentially subjecting #token sellers to sign'",
b'BitLicense Architect Ben Lawsky Joins Ripple Board  ',
"b""New Code Released for Vlad Zamfir's Ethereum 'Casper' Upgrade  """,
"b""RT @BandmanJeff: I've just joined Consensus: Invest community  #consensusinvest cc: @coindesk""",
"b""Blockchain Data Links Tether 'Attack' to 2015 Exchange Hack  """,
b'RT @JoeManzanares: Report Warns SAFT May Increase Legal Risk of Token Sales  via @CoinDesk',
b'Moneyness Zimbabwe and Hyperbitcoinization  by @jp_koning',
b'Breaking: Report Warns SAFT May Increase Legal Risk of Token Sales  ',
b'Bloomberg Bitcoin Mania Moves from Wall Street to Main Street  by @WealthWatch',
"b""ECB President Draghi: Cryptocurrency Impact Still 'Limited'  """,
"b'RT @masonic_tweets: ""We won\'t believe in Bitcoin until the price goes up"" - Wall Street'",
b'Morocco Regulators Warn of Penalties for Cryptocurrency Use  ',
"b""Russia Will 'Never' Consider Bitcoin Legalization, Says Minister  """,
"b""RT @DavidGZeiler: Even with all that's happened this year, #Bitcoin #futures trading may be the most important #crypto development of 2017.""",
"b'Blockstream, Digital Garage Team Up to Foster Blockchain in Japan  '",
"b'Untethered? Bitcoin Shrugs Off Hack in Push Toward $8,500  '",
"b'R3, Microsoft Expand Partnership to Boost Corda DLT Adoption  '",
b'Blockchain Has Potential in Curbing Odometer Fraud: EU Report  ',
"b""How Will Bitcoin's Lightning Network Be Used?  """,
b'Ethereum Startup ConsenSys Opens New London Office  ',
b'Tether Claims $30 Million in US Dollar Token Stolen By Attacker  ',
b'UPDATE: CME says Dec. 11 BTC futures launch date posted online was an error ',
b'RT @danheld: Who else is going to be at Consensus Invest next week? Ping me if you want to meet up - dan@ @coindesk',
b'Bitcoin ATM Installations Draw Warning from Russian Prosecutors  ',
"b""RT @SpirosMargaris: Survey: Institutional Traders Are Split on #Bitcoin's Price, Wary of #ICOs  #fintech #blockc""",
"b'RT @BradyDale: At least two institutional investors have bet $2,250 that BTC would beat $10,000 at the end of next year '",
b'CBOE Releases New Details on Bitcoin Futures Contracts  ',
b'State Bank of India to Beta Test Blockchain Smart Contracts Next Month  ',
"b""RT @eliotbanka: for some reason I'm still skeptical on the regulatory reaction to it | CME's Bitcoin Futures Likely to Start Trading Decemb""",
b'$10 Million:  Domain Name Up for Sale  ',
"b""CME's Bitcoin Futures Likely to Start Trading December 11  """,
b'Government Technology? Can Blockchain Bring Voting Online?  by @BenArnoldMiller',
"b""Will bitcoin futures on the CME create a systemic risk? Nah, that's just FUD, writes @willb20c in this op-ed """,
"b'JPMorgan, Goldman Sachs Trial DLT in Equity Swaps Pilot  '",
"b""$8,200: Bitcoin's Price Starts Week with New All-Time High  """,
"b'RT @DelRayMan: Over the weekend, LedgerX matched its first long-term bitcoin option, at ""only"" $10,000 by next December 2018. Reaction to t'",
b'TechCrunch 100 Cryptocurrencies Described in Four Words or Less  by @eigenjoy',
b'RT @sytaylor: Smart Dubai Office Bags Award for #Blockchain Initiative  via @CoinDesk',
b'Futures Boost? Ether Looks Up on 11-Week High  ',
b'Bloomberg Bitcoin Is the New Crisis Currency by @roburban',
b'EXCLUSIVE: Estranged Moscow Exchange Director Emerges as Blockchain Boss  ',
b'Tis the season ',
b'RT @Bradley_Miles_: The Gentrification of ICOs Is Underway  via @CoinDesk',
b'Rally Fatigue? Low Bitcoin Volumes Could Cap Upside  ',
b'RT @DarcyWEAllen: forking is secession and secession is freedom.  via @CoinDesk',
b'RT @bitcoinmom: pssst my husband has a piece on @coindesk this morning (re CME bitcoin futures) ',
"b'RT @laurentbenichou: Forward #Bitcoin Options are coming. Are you bullish enough to pay $2,250 now to be able to buy bitcoin at $10,000 on'",
b'RT @stuartgh: Even Investors with Access Want ICO Presale Reform  via @CoinDesk &lt;imho either the crypto market refor',
b'Australian Government Grants $8 Million for Blockchain Energy Pilot  ',
b'Smart Dubai Office Bags Award for Blockchain Initiative  ',
b'TGEs or ICBMs? Words Might Not Make a Difference for ICOs  ',
"b'WSJ If There Is a Bubble, It s in Bitcoin  by @AaronBack'",
"b""Survey: Institutional Traders Are Split on Bitcoin's Price, Wary of ICOs  """,
b'Business Insider SAFTs: The Cryptocurrency Fundraising Craze That s Shaking up Venture Capital  by @beckpeterson',
"b""FUD From All Sides: In Defense of CME's Bitcoin Futures Plan  """,
"b""Business Times Singapore's Fintech Dive Now Delves for Proof Beyond Concept  by @JamieLeeBT""",
"b""Bitcoin's Price Climbs Above $8,100 to Hit New All-Time High  """,
b'Financial News Top Hedge Fund Aqr Leads the Way as Blockchain Comes of Age  by @Tabby_Kinder',
b'Even Investors with Access Want ICO Presale Reform  ',
b'The Gentrification of ICOs Is Underway  ',
"b'RT @pbartstephens: First Long-Term LedgerX Bitcoin Option Pegs Price at $10,000  via @CoinDesk'",
"b'RT @DelRayMan: BREAKING: The first ever LedgerX long-term bitcoin futures option pegs the cryptocurrency price at $10,000 by next December.'",
"b'First Long Term LedgerX Bitcoin Option Pegs Price at $10,000 in One Year  '",
b'ICOs on Our Terms and Conditions  ',
b'Millions Gone? Broker Takes Fire for Bitcoin Cash Trading Freeze  ',
b'Gox ICO? CEO Floats Token Sale to Revive Bitcoin Exchange  ',
"b""UBS CIO: We Aren't Getting Involved With Bitcoin  """,
b'Ethereum Could Soon Launch Its First Casper Testnet  ',
"b'No Fork, No Fire: Segwit2x Nodes Stall Running Abandoned Bitcoin Code  '",
b'RT @BradyDale: American Express Opens First Blockchain Corridor With Ripple Tech  via @CoinDesk',
b'RT @SpirosMargaris: Just the Beginning? What the #Tezos Lawsuits Mean for #ICO Litigation  #fintech @AaronWStan',
"b""RT @BradyDale:  don't let your users grow up with bad OpSec  via @CoinDesk""",
"b'Press Release: Loci Adds Michael J. Brunner, PharmD and CEO and Founder of BlockMedx, to Advisory Board '",
"b'Internet Archive Adds Bitcoin Cash, Zcash to Donation Options  '",
b'ECB Council Member: Central Banks Considering Crypto Regulation  ',
"b""RT @DelRayMan: CoinDesk's @AaronWStanley interviewed key players behind multiple ICO lawsuits (ehem, Tezos) to learn how they think: https:""",
b'Ripple Makes a Splash: XRP Price Looks Up on Amex News  ',
b'CNBC Why the CEO Behind One of the Largest Cryptocurrencies Left AOL and Yahoo for Blockchain ',
b'#GoodCrypto ',
b'Visa Launches First Phase of Blockchain B2B Payments System  ',p
"b'RT @YuriRom: First rule of #crypto: never, ever, EVER share your private key. #security #wallets '",
"b""RT @samanthawyap: 'A bubble that drives innovation.' """,
b'Vice You Can Now Mine Cryptocurrency to Bail People Out of Jail  by @neuwaves',
"b""RT @AaronWStanley: What do the Tezos class action suits mean for ICO litigation moving ahead? It's not quite clear yet, but I sift through""",
"b'Up and Away? Bitcoin Price Eyes $8,000 Or Higher  '",p
"b""Friends Don't Let Friends Do Bad Crypto  """,n
b'Over 20 Banks Join Singapore-Hong Kong Blockchain Trade Network  ',
b'Just the Beginning? What the Tezos Lawsuits Mean for ICO Litigation  ',
b'Nasdaq Contemplates Storing Asset Ownership Data on Blockchain  ',
b'Swiss Firms to Let Traders Short Bitcoin With New Futures Products  ',p
b'Adweek This Agency Thinks Blockchain Is the Answer to Advertising s Media Transparency Issues  by @PatrickCoffee',
b'RT @BBoru64: This will be a #gamechanger Magical Realism: Mimblewimble Just Launched Its First Testnet  via @CoinDesk',
"b""Europe's Executive Arm Issues Report on Blockchain For Education  """,p
b'Magical Realism: Mimblewimble Just Launched Its First Testnet  ',
b'Law360 ICO Token Purchasers May Be Entitled To A Refund  by @JohnReedStark',
"b'BREAKING: Bitcoin Nears $7,900 to Hit New All-Time High  '",p
b'Coinbase Courts Hedge Funds With Institutional Storage Service  ',
"b""RT @BrendanEich: YouTube Stars Can Now Earn Brave's Browser Tokens  via @CoinDesk (direct, no intermediation by YT;""",
b'Dell Subsidiary Considers Blockchain Use in Data Transfers  ',
b'RT @DelRayMan: Kickstarter suspended this project that uses an ERC20 ethereum token. Do you know of any other similar instances? https://t.',
b'RT @NeerajKA: Twitter is officially proud of crypto twitter ',
"b'RT @warpaul: ""If @Ripple helps us move money cheaper, faster &amp; better, then we\'ll use it."" @taavet from @TransferWise #FintechFestival #XRP'",
b'Bitcoin Approaches All-Time High As Price Shrugs Off Sell-Off  ',p
"b""Survey: Bitcoin Investors Won't Sell Until Price Nears $200k  """,
"b""$100 Bitcoin? Japan Post Bank's CIO Blasts 'Bubble' Value  """,
b'BREAKING: Underpaid YouTube Stars Can Now Earn Brave Browser Tokens  ',
"b""RT @SpirosMargaris: Lightning Only? Scaling #Bitcoin Might Require A Whole 'Nother Layer  #fintech @AlyssaHertig""",
b'RT @SpirosMargaris: #AmericanExpress Opens First #Blockchain Corridor With #Ripple Tech  #fintech @DelRayMan @co',
"b'RT @DelRayMan: It took 90 years, but today payments finally caught up with Charles Lindbergh thanks to American Express and Ripple: https'",
"b""'Is It Real?': Square CFO Speaks Out on Cash App Bitcoin Trial  """,
"b'Bitcoin Cash Dips to $1,000, But a Recovery May Be on the Cards  '",
b'BREAKING: American Express Opens First Blockchain Corridor With Ripple Tech  ',
b'Axios Second Lawsuit Filed Against Tezos Blockchain Project  by @imkialikethecar',
"b'New Highs in Sight? Bitcoin Moves Back Above $7,500  '",p
b'Kik Might Move Its ICO Tokens to a New Blockchain  ',
"b'@Crypto_Indian Thanks for the comment, but the meeting took place this week.'",
b'Moldova Eyes Blockchain IDs to Help Curb Child Trafficking  ',p
"b""Morgan Stanley CEO: Bitcoin Is 'By Definition Speculative'  """,
"b""Lightning Only? Scaling Bitcoin Might Require A Whole 'Nother Layer  """,
b'TechCrunch Square Cash Is Letting Some Users Buy and Sell Bitcoin  by @fitztepper',
b'Fortune Why Bitcoin Costs Nearly Twice as Much in Zimbabwe as the Rest of the World Right Now  by @ShenLucinda',p
b'The Conversation The Blockchain Does Not Eliminate the Need for Trust ',
"b""'Big Four' Firm KPMG Joins Blockchain Advocacy Group  """,
b'Up and to the right ',
"b""India's Supreme Court Calls on Government to Regulate Bitcoin  """,
b'RT @omegamaster: Code Name Babylon: Cobalt Is Spinning Off a New Blockchain Subsidiary  via @CoinDesk',
"b'RT @SGabrielaAndra: @MarcHochstein @coindesk @mikejcasey The conjugation cheat sheet for Spanish: Yo blockchaineo, tu Blockchaineas, el Bl'",
b'RT @mikejcasey: @bitassistuk @TweetFromHilary @blockchainRI @coindesk Somewhat. And there are other technologies that get really ambiguous',
"b'""The crypto economy will soon be the economy,"" a reader says in the comment thread here: '",
"b'RT @TaylorPearsonMe: 11/ Are we evolving not just a new financial system, but a new governmental one? More thoughts in an op-ed @Coindesk -'",
"b'BREAKING: Another suit filed against Tezos founders, calling their $232M ICO ""an unregistered offering of securitie '",
"b'TBTFCoin? Brokerage claims BTC futures on the CME would pose a systemic risk. ""A catastrophe in the crypto market . '",
b'Fujitsu Eyes Cryptocurrency Trading With Cross-Blockchain Payments Tech  ',
b'RT @LamdenTau: This is a big deal and a good move by @jack! It shows that @square listens to its customers. ',
b'Alleged Bitcoin Launderer Faces Extradition Hearing Next Month  ',
"b'ICOs Could Become Commonplace in Next 20 Years, Says Canaccord  '",
"b""RT @cryptozombie: Look whose finally softened their stance. Maybe they read the book, 'The Last Dinosaur' #cryptocurrency Russian Central""",
"b'RT @ShalaBurroughs: When the new ""voice"" is code. @coindesk on cryptoocracy (crypto/democracy) :'",
b'Parity Team Publishes Postmortem on $160 Million Ether Freeze  ',
b'RT @DelRayMan: EXCLUSIVE: This Swift competitor hashes data to the public ethereum blockchain AND a unique custom blockchain: ',
"b""RT @BLR13: Shitshow to Success? Bitcoin Gold's Launch Has Been Anything But Smooth  #bitcoingold via @coindesk https""",
"b'Prudential, StarHub to Launch Blockchain Trade Platform In Singapore  '",
b'You Want Real Democracy? Try a Hard Fork  ',
b'EXCLUSIVE Code Name Babylon: Cobalt Is Spinning Off a New Blockchain Subsidiary  ',
"b'Turning Tide? Bitcoin Tests $7,000 As Price Pushes Higher  '",
"b""Square's Cash App Pilots Bitcoin Buying and Selling  """,
b'SecureKey Taps IBM Blockchain for Digital Identity System Launch  ',
"b""Shitshow or Success? Bitcoin Gold's Launch Has Been Anything But Smooth  """,
"b'Forbes 30 Under 30 Olaf Carlson-Wee, Founder @Polychaincap  '",
b'Blockchain Advocacy Group Launched in Wyoming  ',
b'UK Hedge Fund Eyes Cryptocurrencies On Heels of CME Futures Plan  ',
b'FT Asian Investors Flock to Initial Coin Offerings Despite Bans ',
"b'Forbes 30 Under 30 Vitalik Buterin, founder, @ethereumproject  '",
"b""Singapore's Central Bank Outlines When ICOs Are and Aren't Securities  """,
"b'Bitcoin Bulletproofed: Wuille, Maxwell and More Propose Scalable Privacy Tech  '",
b'Fork season ',
"b'RT @ConsenSysAndrew: Congrats @AlexBatlin, on starting  employing @ethereumproject smart contracts for asset custody'",
"b'RT @mlbtranslation: Translators: Using ""blockchain"" authoritatively. ""\'t, whatever you do, start using ""blockchain"" as a verb."" https'",
b'UK Finance Regulator Warns Against Cryptocurrency Derivatives  ',
b'RT @gmpsecurities: CME CEO: Bitcoin Futures Could Begin Trading As Soon As December  via @CoinDesk',
"b""RT @TweetFromHilary: I'm Really Into Blockchain. I Blockchain Everything! A thoughtful blog by @BlockchainRI contributor @mikejcasey about""",
b'RT @DanDarkPill: One month later. @coindesk ',
b'RT @nikhileshde: Oh hey I just realized that @coindesk published my 100th article for them sometime in the past week',
"b""RT @teufelchristoph: Ethereum to ICOs: You're Doing It Wrong  via @coindesk""",
"b'RT @Dale_A_Walker: \'I only have one demand: don\'t, whatever you do, start using ""blockchain"" as a verb.\'  via @co'",
b'Morgan Stanley Predicts 2018 Plunge in GPU Mining Sales  ',
"b""PHISHING ALERT: If you received an SMS message in Dutch claiming to be from CoinDesk, it's not us! Don't click.""",
"b""The SEC's Top Accountant Wants Auditors to Study Cryptocurrency  """,
"b""Russian Central Bank Official: ICOs Have 'Huge Potential'  """,
"b""BCH's New Combo: Bull Exhaustion With Limited Downside?  """,
b'Chinese Power Provider Denies Bitcoin Mining Ban Rumors  ',
"b'RT @bchaininsider: ""Whatever you do - don\'t use \'blockchain\' as a verb!"" OP-ED by Michael Casey - I\'m Really Into Blockchain. I Blockchain'",
b'SAP Adds 27 Members to Blockchain Innovation Program  ',
b'RT @SpirosMargaris: #BitcoinCash Hard #Forks In Bid to Ease #Mining Difficulties  #fintech #blockchain #bitcoin',
b'RT @bigtmerchant: How to Stop Worrying and Love the Fork  via @CoinDesk',
"b""RT @teufelchristoph: Ethereum to ICOs: You're Doing It Wrong  via @coindesk""",
"b'RT @ANizameddine: Deloitte Report: Over 26,000 #Blockchain Projects Began in 2016 via @coindesk #bitcoin #technology '",
"b""I'm Really Into Blockchain. I Blockchain Everything!  """,
"b""Bottom in Place? Bitcoin's Price Needs to Consolidate Gains  """,
b'RT @boonado16: 2018 will be huge for the crypto community CME CEO: Bitcoin Futures Could Begin Trading As Soon As December ',
"b'CoinHive Cryptocurrency Miner Is 6th Most Common Malware, Says Report  '",
"b'Reality Shares, Nasdaq Partner to Launch Blockchain Economy Index  '",
"b""Hong Kong Official Touts Blockchain for China's 'Belt and Road' Plan  """,
"b""I'll Give You My Bitcoin When You Pry It From My Cold, Dead Hands  """,
b'BREAKING Ubin Part 2: Singapore Central Bank Publishes Blockchain Project Details  ',
"b'CNBC After Periodic Drops of 20 Percent, Bitcoin Tends to Come Back Even Stronger  by @chengevelyn'",
"b'Quartz Inside Devcon3, the Euphoric Gathering for Ethereum Diehards  by @joonian'",
b'Iran Central Bank Director: Risky Bitcoin Market Requires Policy Review  ',
b'RT @ErikVoorhees: CME CEO: Bitcoin Futures Could Begin Trading As Soon As December  via @CoinDesk',
b'46% say yes ',
"b'RT @balajis: By 2040, everyone under 30 will have never known a world without Bitcoin. It may as well be gold. That s the long-term case fo'",
"b'RT @AriDavidPaul: We re not even in the big leagues yet ladies and gentlemen. If you re complaining about manipulation and hostility now,'",
b'.@VitalikButerin considers bitcoin cash contender for bitcoin name ',
b'Adversarial thinking ',
b'Mastercard Seeks Patent for Instant Blockchain Payments Processing  ',
b'Bitcoin Cash Hard Forks Blockchain In Bid to Ease Mining Difficulties  ',
"b'These are just a few of the many roles that we are currently hiring. If you want to join CoinDesk, we want to hear '",
b'Join our research team as a research analyst and help build out our State of Blockchain and other products. ',
b'We are looking for a full time graphic designer in New York City to join the team. ',
"b""We're looking for a Social Media &amp; Audience Development manager to work with our marketing &amp; editorial teams to con """,
"b""We're on the lookout for a great product manager to help us build amazing products and help make CoinDesk an even g """,
b'Do you want to join the fastest growing media company in bitcoin &amp; blockchain? Check out these jobs: ',
b'Bloomberg The World s Biggest Video Game Skins Site Raised $41 Million With Crypto Tokens  by @olgakharif',
b'CME CEO: Bitcoin Futures Could Begin Trading As Soon As December  ',
b'Parity Floats Fix for $160 Million Ether Fund Freeze  ',
"b""Dutch Regulator: ICO Environment Is a 'Dangerous Cocktail'  """,
b'Dash Cryptocurrency Builds Base After Setting Record Above $500  ',
"b""Ex-CFTC Commissioner Bart Chilton: Bitcoin Isn't a Scam  """,
b'European Financial Regulator Warns Investors On ICO Risks  ',
b'The SAFT Is a Symptom of Regulatory Uncertainty  ',
"b""'Immature' No longer: Brazil's Central Bank Is Ramping Up Its Blockchain Work  """,
b'European Commission to Assess Potential of EU-Wide Blockchain Infrastructure  ',
b'UN Agencies Turn to Blockchain In Fight Against Child Trafficking  ',
b'Baltic Nations Agree to Support DLT Development  ',
b'Hewlett Packard Enterprise to Launch Blockchain Product in 2018  ',
b'Bitcoin Gold Goes Live After Bumpy Blockchain Launch  ',
"b""RT @Menchus89: Blockchain's 4 Biggest Assumptions  via @CoinDesk""",
b'Flimsy Floor? Bitcoin Charts Suggest Price Declines Still in Play  ',
b'',
"b'RT @endnilsson: Prototype product, then ICO and remember to decentralize  @CoinDesk #ico #blockchain'",
"b'RT @flopezvelayos: Blockchain ID Schemes Could Kill the Data Breach, But How Soon?  via @CoinDesk'",
b'RT @jsamih: How Do Ethereum Smart Contracts Work?  via @CoinDesk',
b'Tokenization Will Make Assets More Valuable  ',
b'Confusion and Euphoria As Bitcoin Cash Surges Past $30 Billion  ',
"b'RT @aantonop: Bitcoin and Bitcoin Cash will coexist and serve different use cases, just like Bitcoin and Ethereum. Its not a zero sum game.'",
"b'RT @sidkal: $BCH overtakes $ETH on $7 billion 24h trading volume, as $BTC falls below $100B. Just another insane day in crypto-land. https:'",
b'RT @Melt_Dem: the #flippening happened - $BTC $BCH never a dull day! all eyes on @CoinMarketCap ',
"b""Pipe Dreams: Bitcoin Won't Solve Pot Industry's Banking Problem  """,
"b'Blockchain ID Schemes Could Kill the Data Breach, But How Soon?  '",
"b'Bitcoin Price Decline Continues As Markets Drop Below $6,500  '",
"b'Cryptocurrency Mining Chip Sales Cool in Q3, Says Nvidia  '",
"b'RT @NikMilanovic: More of this, less initial coin offerings:  #blockchainforsocialgood @EU_Commission via @coindesk'",
b'US Customs and Border Patrol Advisors Form Blockchain Research Effort  ',
"b""'2x' Boost? Bitcoin Cash Closes on Record High  """,
"b""Singapore Central Banker: Regulators Have 'Duty' to Learn from ICOs  """,
"b""RT @dranejeremy: Deloitte Report: Over 26,000 Blockchain Projects Began in 2016  via @CoinDesk that's a cool data po""",
"b""Bitcoin Isn't 'Too Expensive,' Says BTCC Boss Bobby Lee  """,
"b'Bull Grip Weakens As Bitcoin Price Breaks Below $7,000  '",
"b""US Treasury Secretary: We're Looking 'Carefully' at Illicit Uses of Bitcoin  """,
b'Bitcoin Classic Announces Closure In Wake of Segwit2x Suspension  ',
"b'Stratumn, Deloitte Trial Blockchain Platform with 14 European Insurers  '",
"b""Ethereum to ICOs: You're Doing It Wrong  """,
b'WSJ Former Bitcoin King Is Bankrupt And He Could Get Rich Again  by @kosakunarioka',
b'CSD Blockchain Consortium Advances Work on Proxy Voting System  ',
b'The Economist Regulators Begin to Tackle the Craze for Initial Coin Offerings ',
"b""EU Officials Reveal 5 Million 'Blockchains for Social Good' Contest  """,
b'Wired Cryptocurrency Mania Fuels Hype and Fear at Venture Firms  by @CadeMetz',
b'Comcast Blockchain Patent Filing Highlights Customer Data Use Case  ',
b'More Charges Filed Against Trader Who Used Bitcoin to Conceal Fraud Profits  ',
b'Bloomberg Someone Figured Out How to Put Tomatoes on a Blockchain  by @antoniabmassa',
"b'RT @IlianaOV: A new class of consumer is  with wallets, autonomously transacting with others. #decentralized #blockchain #'",
b'GE Patent Filings Hint at Blockchain Role in Aircraft Management  ',
b'Coming soon ',
"b'RT @NikMilanovic: Amen. Thank you @Joi for this. A few blockchain fundraises are done well, but too many are transparent cash grabs: http'",
b'Bitcoin Gold Sets Sunday Date for Cryptocurrency Release  ',
b'@GoodGatsbyy news@',
"b""Germany's Securities Regulator Warns ICOs Pose 'Numerous Risks'  """,
"b""'Plenty of Time': Parity Rep Says Startup Won't Push for Emergency Fork  #Parity #ethereum""",
"b'Quantum Computers Could Jack Your Crypto Private Key in 10 Years, Researchers Say  '",
b'VR Firm YDreams Global Joins Hyperledger Blockchain Consortium  ',
b'Ether Prices Climb to Three-Week High Despite Parity Wallet Issue  ',
"b'RT @AaronWStanley: Feeling giddy about your ""free money"" bitcoin cash? don\'t forget to tell the IRS! my story in today\'s @CoinDesk https://'",
b'ICO Funds Among Millions Frozen In Parity Wallets  ',
"b""'Segwit2x Rally' Unwinds? Bitcoin Looks Heavy As Fork Boost Fades  """,
b'Make Big Money on Bitcoin Cash? The IRS Might Be Watching  ',
b'Citigroup CEO: Bitcoin Threat Will Give Rise to State Cryptocurrencies  ',
b'Canadian Police Issue Warning Over Bitcoin Tax Scam  ',
b'SITA Investigates Use of Smart Contracts in Air Transport Industry  ',
b'Renewable-Energy Blockchain Project Moves Past Test Phase  ',
b'Wall Street Exec Sued for Role in Fraudulent Cryptocurrency Mining Scheme  ',
b'RT @TetrasCapital: Founding Partner @alexsunnarborg in @coindesk s Top 5 Token Traders and Analysts of 2017 ',
b'Is Your Ether Frozen? Parity Launches Support Website In Wake of Exploit  ',
"b""RT @carlrodrigues: CoinDesk's Top 10 Token Traders and Analysts of 2017  via @CoinDesk #cryptocurrency""",
b'RT @BudiSukmana: Some of them are my idols: @willywoo @TuurDemeester @cburniske -- congrats! ',
"b""Relief and Disbelief: Bitcoin Reacts to Sudden '2x' Suspension  """,
"b""Where to, Bitcoin? Price Sees $1,000 Spread As '2x' Averted - CoinDesk """,
b'RT @tedmrogers: I believe in the free market and respect its outcomes. #bitcoin #segwit2X #no2X',
b'SEC Chairman: ICO Trading Susceptible to Price Manipulation  ',
"b'RT @TREZOR: As the #Segwit2X fork has been cancelled, we are also putting our preparations on hold. Our resources regarding the 2X hard f'",
"b'""that was an uncommonly decent thing to do.  put Bitcoin\'s well being in front of own agenda"" -- a reader commen '",
b'RT @MarcHochstein: Song of the day  #bitcoin #2x #no2x #Segwit2x',
"b'RT @starkness: @Melt_Dem My hope is the community can work together on an open, peer-reviewed proposal to move forward!'",
b'RT @kyletorpey: #No2x people right now. ',
b'RT @ErikVoorhees: Confirming the SegWit2x announcement. ',
b'RT @brianchoffman: I predict the death of segwit2x does not accelerate layer2 scaling for BTC but increased efforts elsewhere.',
b'RT @brianchoffman: Will be interesting to see if interest in Lightning picks up now',
"b'""Continuing on the current path could divide the community and be a setback to Bitcoin s growth"" '",
"b'""The group still has hopes that the block size will be increased further down the line, once there is more agreemen '",
b'2x Called Off: Bitcoin Hard Fork Suspended for Lack of Consensus ',
b'RT @VinnyLingham: Agree that Segwit2x does not have sufficient consensus across the Bitcoin community to proceed with the block size upgrad',
"b'""We want to thank everyone that contributed constructively to Segwit2x, whether you were in favor or against"" '",
"b'The 2X team claims one success: the plan ""broke the deadlock and quickly led to Segwit s successful activation"" in '",
b'Bitcoin is up $ today  as the contentious 2X hard fork is called off ',
b'Bitcoin price is spiking  in wake of 2X getting called  ',
